artifact_id,category,public_filename,title,related_section,source_filename,format,sha256,size_bytes,media_type,asset_role,parent_asset_id,privacy_status,redactions,license,provenance,release_date,release_status
SI,supplementary_information,Supplementary_Information.pdf,Complete Supplementary Information,S1-S9,Supplementary.docx,pdf,ceb68ead38e167b22d32dc6e14ca0e8178d6f384b7faa95312c11af1298f0d66,2156640,application/pdf,canonical,,public_redacted,exact recorder coordinates and public-archive claims harmonised,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS01,table,Table_S01.xlsx,"Monitoring-station sampling coverage, Koel detections and spatial-validation folds",S1,Table_S1_Monitoring_Stations_20260731.xlsx,xlsx,cd5a570767b602b873fd21118f5cf666ebc0d18fa449f9c176330f9a447da644,6210,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,exact coordinates removed; station codes anonymised,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS02,table,Table_S02.xlsx,Detection-history reconciliation,S1,Table_S2_Detection_History_Reconciliation_20260731.xlsx,xlsx,40c9034a81143e8ab739da8305b98f78e9a19a075ca2e0485d17224e6284ed8a,5116,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS03,table,Table_S03.xlsx,Acoustic-identification workflow and validation evidence,S1,Table_S3_Acoustic_Identification_Validation_20260731.xlsx,xlsx,4e6533bfd3d5765fad2f0a55418ddc800b17a2ecefa753c6481213746fa80e88,5828,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS04,table,Table_S04.xlsx,Candidate daily-detection models,S2,Table_S4_Candidate_Daily_Detection_Models_20260801.xlsx,xlsx,5cf16a11d5d04e69952cfea2878aab249b9189eda401aca06133967b712b6ed9,7140,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS05,table,Table_S05.xlsx,Detection-model audits,S2,Table_S5_Detection_Model_Audits_20260801.xlsx,xlsx,dc8dabbbbfcb95c7cb464a0639fbf3552399153efe002412a313b722aeef4d7f,7174,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS06,table,Table_S06.xlsx,Master analytical variable dictionary,S3,Table_S6_Master_Analytical_Variable_Dictionary_corrected_20260807.xlsx,xlsx,bb7773101a7ed13434d1094d79fb7d663d973cb10845da906d701dfa9159dbd7,13361,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS07,table,Table_S07.xlsx,External datasets and geoprocessing,S3,Table_S7_External_Datasets_Geoprocessing_corrected_20260806.xlsx,xlsx,7e9711f0ed6dd0e4c12cc0a5208d7a72abcf0679490ce956b7bd25b88338b8ed,7389,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS08,table,Table_S08.xlsx,Potential-host candidates and validation,S3,Table_S8_Potential_Host_Candidates_and_Validation_20260802.xlsx,xlsx,8658967dbdc6edaed3de2120a8d559b4d002d12ef2c48d0886735c8ad0f69e62,9815,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS09,table,Table_S09.xlsx,Koel model development and model roles,S4,Table_S9_Koel_Model_Development_and_Roles_host_surfaces_20260811.xlsx,xlsx,d7f004ea3f0b71a060147e8d7edf04836b72268c62516797262ac78299269b99,9805,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
