public_name,source_family,likelihood_layer,transformation,spatial_support,scaling,public_boundary
recording_effort,scheduled sampled minutes,daily_detectability,log then z score,survey day,training-fold only,No missing-effort day becomes a non-detection
anthropogenic_event_rate,AI-labelled acoustic events,daily_detectability,log1p then z score,survey day,training-fold only,Car horn human knocking voice and music events per recording hour
frog_event_rate,AI-labelled acoustic events,daily_detectability,log1p then z score,survey day,training-fold only,Observation context rather than habitat
tree_cover,Dynamic World V1,weekly_opportunity,z score,station-centred circular neighbourhood,training-fold only,100 250 and 500 m compared
built_cover,Dynamic World V1,weekly_opportunity,z score,station-centred circular neighbourhood,training-fold only,100 250 and 500 m compared
grass_cover,Dynamic World V1,host_opportunity,z score,station-centred circular neighbourhood,training-fold only,Host model predictor
tree_edge_area_50m,Dynamic World V1,host_opportunity,z score,station-centred circular neighbourhood,training-fold only,Host model predictor
road_density,licensed road network,host_opportunity,z score,station-centred circular neighbourhood,training-fold only,Host model predictor
distance_to_nearest_water,JRC Global Surface Water v1.4,weekly_and_host_opportunity,z score,neighbourhood centre,training-fold only,Nearest-water context
elevation,NASA SRTMGL1 v3,weekly_and_host_opportunity,z score,station-centred circular neighbourhood,training-fold only,Local elevation context
annual_sine,calendar week,weekly_host_and_density,unitless,annual clock,not scaled,W01 starts 1 January
annual_cosine,calendar week,weekly_host_and_density,unitless,annual clock,not scaled,W01 starts 1 January
projected_easting,projected station coordinates,transfer_sensitivity,z score,station centre,training-fold only,Supplementary residual-geography benchmark
projected_northing,projected station coordinates,transfer_sensitivity,z score,station centre,training-fold only,Supplementary residual-geography benchmark
pid_land_cover_context,Dynamic World V1 and ESA WorldCover 2021,reporting,categorical,250 m circular context,not scaled,Labels interpretation support and never changes predictions
aoa_predictor_distance,seven-variable model predictor space,reporting,dissimilarity,HEX centroid predictor vector,training network reference,Labels statistical support and never changes predictions
