"deployment_size","route_budget","route","route_sequence_id","route_rank","marginal_interpretable_gain_hex","cumulative_interpretable_gain_hex","prospective_gap_coverage_share","W15_W21_psi_CrI_width","planning_context","primary_objective","optimality_claim","allocation_rule"
5,3,"Coverage Expansion","CE01",1,5123,5123,0.725021228417775,0.463568094886139,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
5,3,"Coverage Expansion","CE02",2,598,5721,0.809651853948486,0.00180461091576045,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
5,3,"Coverage Expansion","CE03",3,488,6209,0.878714973110671,0.596862741574234,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
5,2,"Prediction Validation","PV01",1,,,,0.713972327853861,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
5,2,"Prediction Validation","PV02",2,,,,0.697842928143971,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE01",1,5123,5123,0.725021228417775,0.463568094886139,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE02",2,598,5721,0.809651853948486,0.00180461091576045,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE03",3,488,6209,0.878714973110671,0.596862741574234,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE04",4,294,6503,0.920322671950184,0.0986184336590369,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE05",5,130,6633,0.938720634022078,0.108272151719091,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,6,"Coverage Expansion","CE06",6,115,6748,0.954995754316445,0.721291996764898,"POI + functional zone","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
10,4,"Prediction Validation","PV01",1,,,,0.713972327853861,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
10,4,"Prediction Validation","PV02",2,,,,0.697842928143971,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
10,4,"Prediction Validation","PV03",3,,,,0.691441904377585,"Functional zone only","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
10,4,"Prediction Validation","PV04",4,,,,0.68687645600271,"Functional zone only","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE01",1,5123,5123,0.725021228417775,0.463568094886139,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE02",2,598,5721,0.809651853948486,0.00180461091576045,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE03",3,488,6209,0.878714973110671,0.596862741574234,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE04",4,294,6503,0.920322671950184,0.0986184336590369,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE05",5,130,6633,0.938720634022078,0.108272151719091,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE06",6,115,6748,0.954995754316445,0.721291996764898,"POI + functional zone","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE07",7,59,6807,0.963345598641381,0.098766604907358,"No mapped public-use evidence","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE08",8,41,6848,0.969148032833286,0.0843775482406091,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,9,"Coverage Expansion","CE09",9,36,6884,0.974242853099349,0.791051907256191,"Functional zone only","prospective marginal reduction of severely unsupported Monitoring Gap HEXes under the primary three-host model","sequential greedy heuristic; not a global optimum","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV01",1,,,,0.713972327853861,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV02",2,,,,0.697842928143971,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV03",3,,,,0.691441904377585,"Functional zone only","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV04",4,,,,0.68687645600271,"Functional zone only","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV05",5,,,,0.684409750977224,"No mapped public-use evidence","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
15,6,"Prediction Validation","PV06",6,,,,0.678241276746583,"Functional zone only","largest remaining W15-W21 primary three-host weekly-opportunity 95% credible-interval width","sequential uncertainty ranking with observed-network spacing guardrail","proportional to eligible route-pool sizes; rounded; at least one per route"
